Region,Adult obesity,Food environment index
West,0.3,7.002
West,0.329,6.6
West,0.257,8.185
West,0.268,8.0
West,0.315,3.21
West,0.324,2.8
West,0.318,5.892
West,0.316,5.8
West,0.291,7.526
West,0.285,7.3
West,0.296,8.192
West,0.284,7.7
West,0.26,8.342
West,0.269,8.0
West,0.275,7.927
West,0.275,7.7
West,0.292,8.327
West,0.28,8.0
West,0.301,7.957
West,0.315,7.8
West,0.315,3.207
West,0.326,2.7
West,0.298,8.101
West,0.298,7.9
West,0.356,3.28
West,0.341,3.0
West,0.356,7.944
West,0.342,7.5
West,0.297,3.657
West,0.297,3.3
West,0.337,6.631
West,0.355,6.5
West,0.282,8.008
West,0.288,7.7
West,0.302,5.046
West,0.309,5.0
West,0.317,7.112
West,0.325,6.8
West,0.283,7.593
West,0.297,7.4
West,0.276,1.542
West,0.346,1.2
West,0.309,8.332
West,0.301,7.9
West,0.29,1.878
West,0.263,1.6
South,0.305,7.445
South,0.313,7.2
South,0.266,7.993
South,0.25,7.6
South,0.373,5.403
South,0.384,5.0
South,0.343,7.799
South,0.373,7.6
South,0.304,8.648
South,0.309,8.5
South,0.421,3.702
South,0.432,3.8
South,0.383,6.352
South,0.384,6.0
South,0.332,6.642
South,0.315,6.4
South,0.354,6.071
South,0.397,5.7
South,0.314,8.166
South,0.303,7.9
South,0.383,8.105
South,0.37,7.9
South,0.389,6.0
South,0.402,5.9
South,0.36,5.144
South,0.352,5.1
South,0.353,7.462
South,0.374,7.3
South,0.313,8.443
South,0.304,8.1
South,0.299,7.391
South,0.285,7.1
South,0.322,7.494
South,0.339,7.2
South,0.363,4.776
South,0.391,4.6
South,0.343,6.947
South,0.372,6.8
South,0.338,7.606
South,0.323,7.3
South,0.357,6.182
South,0.371,5.9
South,0.324,8.172
South,0.344,7.8
South,0.353,6.797
South,0.344,6.4
South,0.414,3.694
South,0.417,3.6
South,0.324,7.887
South,0.321,7.8
South,0.306,7.621
South,0.301,7.4
South,0.369,6.379
South,0.383,6.1
South,0.318,7.088
South,0.338,6.8
South,0.364,7.704
South,0.363,7.6
South,0.343,7.703
South,0.335,7.5
South,0.34,8.024
South,0.345,7.7
South,0.479,3.021
South,0.481,2.9
South,0.416,6.303
South,0.362,6.1
South,0.346,7.957
South,0.341,7.6
South,0.349,7.022
South,0.329,6.7
South,0.3,7.976
South,0.29,7.7
South,0.322,6.18
South,0.329,6.0
South,0.313,7.864
South,0.328,7.6
South,0.322,7.602
South,0.312,7.3
South,0.377,8.05
South,0.386,7.8
South,0.32,6.566
South,0.3,6.2
South,0.338,8.09
South,0.334,7.9
South,0.438,2.636
South,0.437,2.8
South,0.392,3.56
South,0.417,3.4
South,0.3,7.341
South,0.306,7.1
South,0.416,5.098
South,0.423,4.9
South,0.33,7.835
South,0.341,7.6
South,0.315,7.62
South,0.339,7.4
South,0.339,6.167
South,0.359,5.9
South,0.359,4.512
South,0.363,4.5
South,0.353,5.657
South,0.346,5.4
South,0.285,7.896
South,0.302,7.7
South,0.389,4.751
South,0.387,4.8
South,0.385,6.506
South,0.401,6.3
South,0.36,6.307
South,0.353,5.9
South,0.342,7.171
South,0.341,7.0
South,0.365,6.117
South,0.342,5.7
South,0.296,8.682
South,0.315,8.5
South,0.329,8.478
South,0.317,8.2
South,0.401,3.896
South,0.404,3.8
South,0.384,6.628
South,0.38,6.4
South,0.351,6.962
South,0.356,6.8
South,0.332,6.719
South,0.329,6.5
South,0.36,7.759
South,0.334,7.5
South,0.359,7.064
South,0.361,7.1
South,0.416,1.858
South,0.428,1.8
South,0.357,7.512
South,0.334,7.4
South,0.354,6.104
South,0.351,6.1
South,0.38,5.855
South,0.361,5.4
South,0.285,7.5
South,0.293,7.0
South,0.276,7.783
South,0.272,7.4
South,0.273,7.006
South,0.263,6.5
South,0.34,6.139
South,0.347,5.9
South,0.342,4.481
South,0.352,3.9
South,0.287,7.82
South,0.335,7.4
South,0.368,5.244
South,0.385,5.0
South,0.326,6.48
South,0.325,6.0
South,0.32,6.743
South,0.317,6.4
South,0.288,7.64
South,0.28,7.2
South,0.349,6.87
South,0.354,6.5
South,0.335,5.861
South,0.37,5.5
South,0.357,6.531
South,0.397,6.0
South,0.341,6.336
South,0.34,5.9
South,0.359,6.886
South,0.377,6.5
South,0.381,5.015
South,0.382,4.9
South,0.365,6.524
South,0.375,6.0
South,0.33,5.495
South,0.325,5.2
South,0.369,4.222
South,0.365,3.7
South,0.323,5.661
South,0.319,5.3
South,0.294,6.882
South,0.3,6.5
South,0.336,7.385
South,0.352,7.0
South,0.311,7.098
South,0.319,6.6
South,0.283,6.468
South,0.309,6.0
South,0.361,8.18
South,0.358,7.8
South,0.378,6.786
South,0.339,6.3
South,0.363,5.927
South,0.391,5.4
South,0.334,7.126
South,0.326,6.6
South,0.357,6.444
South,0.369,6.0
South,0.298,6.858
South,0.309,6.3
South,0.303,7.527
South,0.33,7.1
South,0.371,6.019
South,0.411,5.6
South,0.4,5.297
South,0.386,5.0
South,0.349,7.489
South,0.324,7.1
South,0.309,5.846
South,0.325,5.3
South,0.38,6.047
South,0.334,5.6
South,0.346,3.989
South,0.354,3.4
South,0.329,4.609
South,0.338,4.0
South,0.329,7.354
South,0.312,7.0
South,0.332,7.393
South,0.347,6.9
South,0.312,7.543
South,0.335,7.2
South,0.328,6.94
South,0.333,6.3
South,0.326,7.431
South,0.309,7.0
South,0.336,6.26
South,0.327,5.8
South,0.391,5.455
South,0.387,5.2
South,0.351,5.72
South,0.358,5.2
South,0.296,7.06
South,0.306,6.4
South,0.344,5.781
South,0.329,5.4
South,0.363,6.429
South,0.36,5.7
South,0.398,5.108
South,0.378,4.6
South,0.338,7.665
South,0.331,7.3
South,0.38,2.66
South,0.4,2.3
South,0.336,6.758
South,0.351,6.2
South,0.357,6.616
South,0.357,6.1
South,0.331,5.99
South,0.325,5.5
South,0.352,7.249
South,0.348,6.8
South,0.328,7.516
South,0.345,7.0
South,0.331,6.036
South,0.329,5.6
South,0.342,6.155
South,0.352,5.7
South,0.315,7.902
South,0.315,7.5
South,0.294,7.174
South,0.311,6.8
South,0.302,5.781
South,0.312,5.2
South,0.298,7.034
South,0.31,6.7
South,0.379,5.805
South,0.387,5.3
South,0.303,6.668
South,0.302,6.3
South,0.386,4.011
South,0.395,3.7
South,0.342,6.362
South,0.348,5.9
South,0.309,5.627
South,0.363,5.3
South,0.332,6.831
South,0.344,6.5
South,0.286,7.066
South,0.292,6.7
South,0.334,7.141
South,0.339,6.7
South,0.356,6.072
South,0.367,5.6
South,0.325,7.8
South,0.343,7.3
West,0.318,1.43
West,0.319,0.9
West,0.247,6.684
West,0.236,6.4
West,0.233,6.167
West,0.24,5.7
West,0.263,6.467
West,0.271,6.2
West,0.339,6.243
West,0.35,6.1
West,0.342,5.004
West,0.354,5.0
West,0.312,5.781
West,0.32,5.5
West,0.228,7.561
West,0.226,7.3
West,0.271,5.876
West,0.266,5.4
West,0.317,4.758
West,0.312,4.3
West,0.241,7.109
West,0.221,6.9
West,0.314,7.507
West,0.302,7.3
West,0.201,5.768
West,0.205,5.9
West,0.234,6.63
West,0.259,6.3
West,0.311,4.639
West,0.312,4.7
West,0.207,7.775
West,0.205,7.6
West,0.23,8.073
West,0.248,7.7
West,0.243,6.755
West,0.244,6.4
West,0.258,8.038
West,0.243,7.7
West,0.226,6.946
West,0.223,7.0
West,0.237,8.139
West,0.224,8.0
West,0.255,6.405
West,0.255,6.0
West,0.203,8.067
West,0.21,7.9
West,0.294,6.46
West,0.285,6.5
West,0.268,7.01
West,0.259,6.9
West,0.265,7.088
West,0.257,6.5
West,0.235,4.796
West,0.221,5.3
West,0.238,7.284
West,0.228,6.9
West,0.278,6.843
