Region,State,Adult obesity,Food environment index
Northeast,CT,0.186,8.572
Northeast,CT,0.196,8.3
Northeast,CT,0.246,7.962
Northeast,CT,0.261,7.7
Northeast,CT,0.219,9.02
Northeast,CT,0.235,8.7
Northeast,CT,0.239,8.674
Northeast,CT,0.235,8.4
Northeast,CT,0.274,7.884
Northeast,CT,0.269,7.6
Northeast,CT,0.25,8.362
Northeast,CT,0.263,7.9
Northeast,CT,0.234,8.315
Northeast,CT,0.24,7.9
Northeast,CT,0.3,8.0
Northeast,CT,0.303,7.6
Northeast,MA,0.18,8.564
Northeast,MA,0.183,8.3
Northeast,MA,0.22,8.577
Northeast,MA,0.225,8.2
Northeast,MA,0.291,8.29
Northeast,MA,0.286,8.0
Northeast,MA,0.196,9.026
Northeast,MA,0.224,8.7
Northeast,MA,0.235,8.689
Northeast,MA,0.242,8.5
Northeast,MA,0.249,8.748
Northeast,MA,0.221,8.4
Northeast,MA,0.292,8.049
Northeast,MA,0.289,7.9
Northeast,MA,0.224,8.671
Northeast,MA,0.218,8.3
Northeast,MA,0.233,9.115
Northeast,MA,0.231,8.9
Northeast,MA,0.239,9.113
Northeast,MA,0.197,9.1
Northeast,MA,0.198,9.157
Northeast,MA,0.202,8.9
Northeast,MA,0.247,8.765
Northeast,MA,0.258,8.6
Northeast,MA,0.215,7.709
Northeast,MA,0.212,7.4
Northeast,MA,0.256,8.65
Northeast,MA,0.26,8.4
Northeast,ME,0.313,7.8
Northeast,ME,0.313,7.3
Northeast,ME,0.329,7.456
Northeast,ME,0.333,7.1
Northeast,ME,0.219,7.973
Northeast,ME,0.215,7.6
Northeast,ME,0.302,7.9
Northeast,ME,0.298,7.5
Northeast,ME,0.245,8.026
Northeast,ME,0.237,7.6
Northeast,ME,0.301,8.08
Northeast,ME,0.311,7.7
Northeast,ME,0.26,8.18
Northeast,ME,0.246,7.8
Northeast,ME,0.235,8.607
Northeast,ME,0.241,8.2
Northeast,ME,0.303,7.8
Northeast,ME,0.305,7.5
Northeast,ME,0.312,7.389
Northeast,ME,0.317,6.9
Northeast,ME,0.325,7.678
Northeast,ME,0.309,7.3
Northeast,ME,0.25,8.376
Northeast,ME,0.256,8.0
Northeast,ME,0.336,7.419
Northeast,ME,0.339,7.1
Northeast,ME,0.29,7.923
Northeast,ME,0.304,7.5
Northeast,ME,0.324,7.103
Northeast,ME,0.322,6.7
Northeast,ME,0.267,8.248
Northeast,ME,0.273,7.8
Northeast,NH,0.269,8.932
Northeast,NH,0.295,8.6
Northeast,NH,0.241,9.358
Northeast,NH,0.238,9.1
Northeast,NH,0.259,8.876
Northeast,NH,0.254,8.5
Northeast,NH,0.315,8.394
Northeast,NH,0.313,8.1
Northeast,NH,0.255,8.904
Northeast,NH,0.267,8.5
Northeast,NH,0.269,8.86
Northeast,NH,0.272,8.6
Northeast,NH,0.264,8.821
Northeast,NH,0.276,8.5
